"Product Id","Product Name","Active (Product)","Product Family","N&ET Product","N&ET Family","Business Unit"
01tN5000007Sp1f,"SPEOS FOR SOLIDWORKS OPTICAL SENSOR TEST - PAID UP",1,SPEOS,0,,EBU
01tN5000007Sp1g,"SPEOS FOR SOLIDWORKS OPTICAL SENSOR TEST - REGIONAL WAN FEE",1,SPEOS,0,,EBU
01tN5000007Sp1h,"SPEOS FOR SOLIDWORKS OPTICAL SENSOR TEST - SITE-BASED WAN FEE",1,SPEOS,0,,EBU
01tN5000007Sp1i,"SPEOS FOR SOLIDWORKS PREMIUM - GLOBAL LEASE",1,SPEOS,0,,EBU
01tN5000007Sp1j,"SPEOS FOR SOLIDWORKS PREMIUM - GLOBAL WAN FEE",1,SPEOS,0,,EBU
01tN5000007Sp1k,"SPEOS FOR SOLIDWORKS PREMIUM - PAID UP",1,SPEOS,0,,EBU
01tN5000007Sp1l,"SPEOS FOR SOLIDWORKS PREMIUM - REGIONAL WAN FEE",1,SPEOS,0,,EBU
01tN5000007Sp1m,"SPEOS FOR SOLIDWORKS PREMIUM - SITE-BASED WAN FEE",1,SPEOS,0,,EBU
01tN5000007Sp1n,"SPEOS FOR SOLIDWORKS PRO - GLOBAL LEASE",1,SPEOS,0,,EBU
01tN5000007Sp1o,"SPEOS FOR SOLIDWORKS PRO - GLOBAL WAN FEE",1,SPEOS,0,,EBU
01tN5000007Sp1p,"SPEOS FOR SOLIDWORKS PRO - PAID UP",1,SPEOS,0,,EBU
01tN5000007Sp1q,"SPEOS FOR SOLIDWORKS PRO - REGIONAL WAN FEE",1,SPEOS,0,,EBU
01tN5000007Sp1r,"SPEOS FOR SOLIDWORKS PRO - SITE-BASED WAN FEE",1,SPEOS,0,,EBU
01tN5000007Sp1s,"TOTEM MESH PATTERN RECOGNITION (MPR) - PAID UP",1,Totem,0,,SCBU
01tN5000007Sp1t,"TOTEM STANDARD CELL CLUSTER - GLOBAL LEASE",1,Totem,0,,SCBU
01tN5000007Sp1u,"TOTEM STANDARD CELL CLUSTER - PAID UP",1,Totem,0,,SCBU
01tN5000007Sp1v,"TOTEM-EX - PAID UP",1,Totem,0,,SCBU
01tN5000007Sp1w,"TPA WELD STRENGTH EDR MEDESO LSE",1,Apps,0,,CPBU
01tN5000007Sp1x,"GRANTA PLASTICS BUNDLE CLASSIC (CAMPUS, PROSPECTOR) - GLOBAL WAN FEE",1,"GRANTA MI",0,,MatBU
01tN5000007Sp1y,"GRANTA PLASTICS BUNDLE CLASSIC (CAMPUS, PROSPECTOR) - LEASE",1,"GRANTA MI",0,,MatBU
01tN5000007Sp1z,"GRANTA PLASTICS BUNDLE CLASSIC (CAMPUS, PROSPECTOR) - PAID UP",1,"GRANTA MI",0,,MatBU
01tN5000007Sp20,"GRANTA PLASTICS BUNDLE CLASSIC (CAMPUS, PROSPECTOR) - REGIONAL WAN FEE",1,"GRANTA MI",0,,MatBU
01tN5000007Sp21,"GRANTA PLASTICS BUNDLE CLASSIC (CAMPUS, PROSPECTOR) - SITE-BASED WAN FEE",1,"GRANTA MI",0,,MatBU
